query_number,query_type,query,query_nikud,age_group,comments,image_count,answer,hint
1,הבנה,איפה האף של הילד?,אֵיפֹה הָאַף שֶׁל הַיֶּלֶד?,2:00-2:06,,1,,הורים : הצביעו על האף שלכם ואז שאלו את הילד
2,הבנה,איפה הכדור,אֵיפֹה הַכַּדּוּר,2:00-2:06,,3,1,"עם מה אפשר לשחק מסירות, או לבעוט לשער"
3,הבנה,תראה לי ילד שישן,תַּרְאֶה לִי יֶלֶד שֶׁיָּשֵׁן,2:00-2:06,,2,2,"מחווה של ""לישון"" \עצימת עיניים"
4,הבנה,איפה הדובי הגדול?,אֵיפֹה הַדֻּבִּי הַגָּדוֹל?,2:00-2:06,,2,1,"מחוות ידיים של ""גדול"" ו""קטן"""
5,הבנה,איפה הדובי על הקופסא?,אֵיפֹה הַדֻּבִּי עַל הַקֻּפְסָא?,2:00-2:06,,3,2,ניתן להראות חפץ בסביבה הקרובה שנמצא מעל חפץ אחר. 
6,הבנה,הצבע על כל החיות,הַצֶּבַע עַל כָּל הַחַיּוֹת,2:00-2:06,,10,,"ניתן לתת רמזים ספציפים על כל חיה (קול, איפה שהיא גרה)"
7,הבעה,מה אלו? ,מָה אֵלּוּ? ,2:00-2:06,הילד צריך לתת שם לחפצים בתמונה,2,,ניתן לתת רמז ספיצפי לכל פריט
8,הבעה,מה הילד עושה?,מָה הַיֶּלֶד עוֹשֶׂה?,2:00-2:06,,1,,מחוה של תנועת נסיעה עם היד
9,הבעה,מה הילד עושה?,מָה הַיֶּלֶד עוֹשֶׂה?,2:00-2:06,ישן \ישן במיטה,1,,מחווה של תנועת ידיים של שינה
10,הבעה,זה כדור קטן וזה?,זֶה כַּדּוּר קָטָן וְזֶה?,2:00-2:06,"גדול
כדור גדול",1,,מחווה של תיאור גודל
11,הבעה,מה הילד רוצה?,מָה הַיֶּלֶד רוֹצֶה?,2:00-2:06,הפקת פועל לשתות מים,1,,"עודדו הפקת פועל. אם הילד אומר ""מים"" שאלו- מה הילד רוצה לעשות עם המים. "
12,הבעה,זה החתול שלו וזה החתול? ,זֶה הֶחָתוּל שֶׁלּוֹ וְזֶה הֶחָתוּל? ,2:00-2:06,"הילד משתמש במילת היחס: ""שלה"" ",2,,הקראה עם אינטונציה לנקבה
13,הבעה,איזה חיות אתה מכיר בתמונה?,אֵיזֶה חַיּוֹת אַתָּה מַכִּיר בַּתְּמוּנָה?,2:00-2:06,"מזהה לפחות 3 חיות 
או משמיע את קולן",1,,ניתן להשמיע קולות חיות
14,הבנה,איפה האוזן של הילד?,אֵיפֹה הָאֹזֶן שֶׁל הַיֶּלֶד?,2:07-3:00,,1,,הצבעה על האוזן של המבוגר
15,הבנה,איפה הדובי האדום?,אֵיפֹה הַדֻּבִּי הָאָדֹם?,2:07-3:00,,3,1,"הצבעה על דובי כחול ואמור:""זה דובי כחול איפה האדום?"""
16,הבנה,איפה הדובי בתוך הקופסא?,אֵיפֹה הַדֻּבִּי בְּתוֹךְ הַקֻּפְסָא?,2:07-3:00,,3,1,ניתן להצביע על חפץ בסביבה הקרובה שנמצא בתוך חפץ אחר
17,הבנה,איפה הילדה שמחזיקה בננה ביד?,אֵיפֹה הַיַּלְדָּה שֶׁמַּחְזִיקָה בָּנָנָה בַּיָּד?,2:07-3:00,,3,2,הקראה נוספת עם דגש על שם הפרי ועל מין הילדה
18,הבנה,איפה ילד יושב?,אֵיפֹה יֶלֶד יוֹשֵׁב?,2:07-3:00,,2,2,הקראה נוספת
19,הבנה,מי שונה? מי לא מתאים לקבוצה?,מִי שׁוֹנֶה? מִי לֹא מַתְאִים לַקְּבוּצָה?,2:07-3:00,,3,1,
20,הבנה,איפה כל הצעצועים ? ,אֵיפֹה כָּל הַצַּעֲצוּעִים ? ,2:07-3:00,הצבעה נכונה לפחות על 4 תמונות,10,,ניתן לתת דוגמאות ספציפיות לכל צעצוע
21,הבעה,מה אתה רואה בתמונה? ,מָה אַתָּה רוֹאֶה בַּתְּמוּנָה? ,2:07-3:00,הילד צריך להגיד את שמות כל החפצים,1,,"ניתן לתת צליל פותח של הפריט למשל (""מיכ"" למכנסיים)"
22,הבעה,"הילד אוכל בננה, והילדה?","הַיֶּלֶד אוֹכֵל בָּנָנָה, וְהַיַּלְדָּה?",2:07-3:00,"הילד מפיק פועל בנקבה
אוכלת
אוכלת בננה",2,,הקראה נוספת עם דגש לנקבה
23,הבעה,מה הצבע של כל כדור?,מָה הַצֶּבַע שֶׁל כָּל כַּדּוּר?,2:07-3:00,מזהה לפחות 2 צבעים,3,,
24,הבעה,מה זה?,מָה זֶה?,2:07-3:00,"הילד משתמש ברבים או רבות לתאור הפריטים
בובות, חתולים, כדורים",1,,בובה אחת והרבה? 
25,הבעה,לילד הזה יש דובי גדול וילד הזה יש? ,לַיֶּלֶד הַזֶּה יֵשׁ דֻּבִּי גָּדוֹל וְיֶלֶד הַזֶּה יֵשׁ? ,2:07-3:00,"דובי קטן
",2,,מחוות של גודל עם הידיים
26,הבעה,מה הילד אומר לאמא?,מָה הַיֶּלֶד אוֹמֵר לְאִמָּא?,2:07-3:00,"הפקת משפט פשוט והבעת רצונות
הוא רוצה עוגייה
אמא תביאי לי עוגייה",1,,"אם הילד אומר ""עוגייה"" נסו להכווין אותו לפועל: רוצה, תביאי לי וכו"
27,הבעה,"תגיד כמוני: הילדה שמחה כי היא קיבלה גלידה"".","תַּגִּיד כָּמוֹנִי: הַיַּלְדָּה שְׂמֵחָה כִּי הִיא קִבְּלָה גְּלִידָה"".",2:07-3:00,יכולת לחקות משפט ,1,,הקריאו שוב לאט
28,הבנה,איפה כל החיות ? ,אֵיפֹה כָּל הַחַיּוֹת ? ,3:00-4:00,,3,3,את מי אפשר ללטף
29,הבנה,איפה הילדה שקר לה,אֵיפֹה הַיַּלְדָּה שֶׁקַּר לָהּ,3:00-4:00,,2,1,רמז ללבוש הילדה
30,הבנה,איפה הדובי ליד הקופסא,אֵיפֹה הַדֻּבִּי לְיַד הַקֻּפְסָא,3:00-4:00,,3,2,רמז על שני חפצים בסביבה הקרובה שהם אחד ליד ה אחד ליד שני
31,הבנה,הצבע על הכדור הצהוב הגדול,הַצֶּבַע עַל הַכַּדּוּר הַצָּהֹב הַגָּדוֹל,3:00-4:00,,3,2,מחווה של גודל
32,הבנה,מה חרוז של חלון?,מָה חָרוּז שֶׁל חַלּוֹן?,3:00-4:00,,3,2,הקראה נוספת עם דגש על סוף המילה
33,הבנה,מה תעשה אם הידיים שלך יהיו מלוכלכות?,מָה תַּעֲשֶׂה אִם הַיָּדַיִם שֶׁלְּךָ יִהְיוּ מְלֻכְלָכוֹת?,3:00-4:00,עונה על שאלות היפוטתיות ,1,1,מחוה של שטיפת ידיים
34,הבעה,למה הילדה בוכה?,לָמָּה הַיַּלְדָּה בּוֹכָה?,3:00-4:00,"הסקת מסקנות 
כי\בגלל שהיא נפלה מהאופניים",1,,להכווין את הילד להסתכל על האופניים
35,הבעה,"הילד מנסה להכין כריך עם שוקולד. תוכל להסביר את שלבי ההכנה?
מה קרה קודם ואחר כך ובסוף.",הַיֶּלֶד מְנַסֶּה לְהָכִין כָּרִיךְ עִם שׁוֹקוֹלָד. תּוּכַל לְהַסְבִּיר אֶת שְׁלַבֵּי הַהֲכָנָה? מָה קָרָה קֹדֶם וְאַחַר כָּךְ וּבַסּוֹף.,3:00-4:00,הילד מתאר הכנת סנדוויץ עם שוקולד ומשתמש בסדר הנכון,1,,
36,הבעה,ספר מה אתה רואה בתמונה,סַפֵּר מָה אַתָּה רוֹאֶה בַּתְּמוּנָה,3:00-4:00,הפקת משפטים מחוברים וארוכים,1,,נסו להכווין את הילד להסתגל על הפעולות של כל הילדים בתמונה
37,הבעה,לילדה קר. מה תעשה אם יהיה לך קר?,לְיַלְדָּה קַר. מָה תַּעֲשֶׂה אִם יִהְיֶה לְךָ קַר?,3:00-4:00,"הסקת מסקנות והפקת פועל בזמן עתיד
אני אלבש מעיל, אלבש בגדים ארוכים",1,,להכווין את הילד לבגדים
38,הבעה,אתה יכול לספור לי את הארנבות?,אַתָּה יָכוֹל לִסְפֹּר לִי אֶת הָאַרְנָבוֹת?,3:00-4:00,מנייה וספירה תקינה,1,,מחווה של ספירה עם הידיים
39,הבעה,מה עושים עם מגבת? ומה עושים עם מזלג?,מָה עוֹשִׂים עִם מַגֶּבֶת? וּמָה עוֹשִׂים עִם מַזְלֵג?,3:00-4:00,"שיוך פעולה לחפץ
במגבת מתנגבים 
במזלג אוכלים",2,,"מחוות עם הידיים
או לתת דוגמא של צליל פותח:""מית.נגבים""."
40,הבנה,ילדה אוכלת אגס גדול וירוק,יַלְדָּה אוֹכֶלֶת אַגָּס גָּדוֹל וְיָרֹק,4:00-5:00,הבנת הוראות מורכבות,3,1,מחווה של גדול עם הידיים
41,הבנה,איפה ילדה שקיבלה גלידה מאמא,אֵיפֹה יַלְדָּה שֶׁקִּבְּלָה גְּלִידָה מֵאִמָּא,4:00-5:00,הבנת סביל ,2,2,להגיד: אמא  נותנת לה גלידה
42,הבנה,עם מה מצחצחים?,עִם מָה מְצַחְצְחִים?,4:00-5:00,הבנת פעולה,3,1,מחווה של צחצוח שיניים
43,הבנה,איפה כדור כחול קטן מתחת לשולחן,אֵיפֹה כַּדּוּר כָּחֹל קָטָן מִתַּחַת לַשֻּׁלְחָן,4:00-5:00,הבנת הוראות מורכבות רב שלביות,4,2,מחווה של גודל ומיקום
44,הבנה,איפה הילדה עם השמלה האדומה ומטרייה סגורה?,אֵיפֹה הַיַּלְדָּה עִם הַשִּׂמְלָה הָאֲדֻמָּה וּמִטְרִיָּה סְגוּרָה?,4:00-5:00,הבנת הוראות מורכבות ,3,1,הקראה נוספת
45,הבנה,הצבע על הכלב לפני שאתה מצביע על החתול,הַצֶּבַע עַל הַכֶּלֶב לִפְנֵי שֶׁאַתָּה מַצְבִּיעַ עַל הֶחָתוּל,4:00-5:00,הבנת סדר הוראות,2,,הקראה נוספת
46,הבנה,איזה כלי תחבורה שונה? יוצא דופן?,אֵיזֶה כְּלִי תַּחְבּוּרָה שׁוֹנֶה? יוֹצֵא דֹּפֶן?,4:00-5:00,הבנת יוצא דופן,3,1,מי לא נוסע איפה שכולם?
47,הבעה,למה הילד עצוב,לָמָּה הַיֶּלֶד עָצוּב,4:00-5:00,"הסקת מסקנות מסיטואציה חברתית
כי החברים שלו צוחקים עליו, כי הם לא משתפים אותו , כי הוא לבד",1,,להסביר לילד מה הסיטואציה שמתרחשת
48,הבעה,ספר מה קרה לפי הסדר,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר,4:00-5:00,תאור רצף שגרת בוקר,1,,"היא קמה בבוקר..ואז? ואחכ? ובסוף? 
"
49,הבעה,במה אנחנו משתמשים כדי לפתוח את הדלת? או מנעול? ,בְּמָה אֲנַחְנוּ מִשְׁתַּמְּשִׁים כְּדֵי לִפְתֹּחַ אֶת הַדֶּלֶת? אוֹ מַנְעוּל? ,4:00-5:00,"זיהוי פריט מתוך הגדרה בלבד ללא תמחנה.
מפתח",1,,מחווה של פתיחה
50,הבעה,איזו חיה גרה בג'ונגל ויש לה רעמה? ,אֵיזוֹ חַיָּה גָּרָה בַּגּ'וּנְגֵּל וְיֵשׁ לָהּ רַעֲמָה? ,4:00-5:00,"זיהוי פריט מתוך הגדרה בלבד ללא תמונה.
אריה",1,,הוא גם מלך החיות
51,הבעה,מה מצחיק בתמונה?,מָה מַצְחִיק בַּתְּמוּנָה?,4:00-5:00,"הבנת אבסורד והומור
מצליח בלפחות תמונה אחת",2,,תסתכל על החתול מה משונה בו? ובילד? 
52,הבעה,בוא נדמיין שאמא אף פעם לא ראתה מכונית. תנסה לתאר לה מה זה מכונית,בּוֹא נְדַמְיֵן שֶׁאִמָּא אַף פַּעַם לֹא רָאֲתָה מְכוֹנִית. תְּנַסֶּה לְתָאֵר לָהּ מָה זֶה מְכוֹנִית,4:00-5:00,"מציין לפחות 3 תכונות של המכונית
מהירה, יש לה גלגלים, נוסעת על הכביש, יש לנו כזה, מסיעה אנשים למקומות ",1,,"נוסעת בכביש, יש לה גלגלים, היא מהירה "
53,הבעה,כל המשפחה בים! תוכל לספר מה אתה עשית כשהיית בים? התחל ב פעם אחת הייתי בים ,כָּל הַמִּשְׁפָּחָה בַּיָּם! תּוּכַל לְסַפֵּר מָה אַתָּה עָשִׂיתָ כְּשֶׁהָיִיתָ בַּיָּם? הַתְחֵל ב פַּעַם אַחַת הָיִיתִי בַּיָּם ,4:00-5:00,הילד מספר סיפור עם שלושה משפטים לפחות,1,,כוונו את תשומת לב הילד לכל הפרטים ולסיפור ששניכם זוכרים
54,הבנה,הצבע מה יקרה אחר כך,הַצֶּבַע מָה יִקְרֶה אַחַר כָּךְ,5:00-6:00,הסקת מסקנות לא מילוליות,3,2,האם הילד הצליח או לא הצליח לטפס בסולם?
55,הבנה,מי קיבל גלידה ראשון,מִי קִבֵּל גְּלִידָה רִאשׁוֹן,5:00-6:00,הסקת מסקנות מתמונה,3,2,הכוון את הילד לסדר הילדים בטור
56,הבנה,מי כועס כי לקחו לו צעצוע,מִי כּוֹעֵס כִּי לָקְחוּ לוֹ צַעֲצוּעַ,5:00-6:00,הסקת מסקנות מתמונה,3,3,הבעות הפנים של הילדים
57,הבנה,אם יש לך שני כדורים ואוסיף לך עוד שני כדורים. כמה כדורים יהיו לך,אִם יֵשׁ לְךָ שְׁנֵי כַּדּוּרִים וְאוֹסִיף לְךָ עוֹד שְׁנֵי כַּדּוּרִים. כַּמָּה כַּדּוּרִים יִהְיוּ לְךָ,5:00-6:00,מנייה,3,1,ספירה עם האצבעות 
58,הבנה,הצבע על חיה גדולה מחתול וקטנה מסוס,הַצֶּבַע עַל חַיָּה גְּדוֹלָה מֵחָתוּל וּקְטַנָּה מִסּוּס,5:00-6:00,הסקת מסקנות מהוראה מורכבת,4,4,מחוות לתאור גודל
59,הבנה,נעל ורגל זה כמו כפפה ו?,נַעַל וְרֶגֶל זֶה כְּמוֹ כְּפָפָה ו?,5:00-6:00,אנלוגיות ,3,3,נעל נועלים על הרגל..ואיפה לובשים כפפה?
60,הבנה,מי נרטב כי שכח מטרייה,מִי נִרְטַב כִּי שָׁכַח מִטְרִיָּה,5:00-6:00,הסקת מסקנות מתמונה,2,1,למה הוא נרטב כי מה אין לו?
61,הבעה,בית מתחיל ב?,בַּיִת מַתְחִיל ב?,5:00-6:00,,1,,
62,הבעה,מה קרה לילדה? מה היא יכולה לשאול את אמא?,מָה קָרָה לַיַּלְדָּה? מָה הִיא יְכוֹלָה לִשְׁאֹל אֶת אִמָּא?,5:00-6:00,"הפקת משפט שאלה:""אמא את יכולה לעזור לי?אמא תעזרי לי לחפש את הנעל",1,,הכוונה לרגליים של הילדה ושהיא לא מוצאת את הנעל
63,הבעה,דלת מתחילה ב?,דֶּלֶת מַתְחִילָה ב?,5:00-6:00,,1,,
64,הבעה,מה הילד עושה? ומה האמא עושה? ,מָה הַיֶּלֶד עוֹשֶׂה? וּמָה הָאִמָּא עוֹשָׂה? ,5:00-6:00,הילד אוכל והאמא מאכילה,2,,להדגים במחווה
65,הבעה,"אם משהו קר, אז אומרים שזה קר כמו?
","אִם מַשֶּׁהוּ קַר, אָז אוֹמְרִים שֶׁזֶּה קַר כְּמוֹ? ",5:00-6:00,,2,,
66,הבעה,אם נגעתי במשהו חד אז זה חד כמו?,אִם נָגַעְתִּי בְּמַשֶּׁהוּ חַד אָז זֶה חַד כְּמוֹ?,5:00-6:00,,1,,
67,הבעה,"אם אני שוחה טוב מאוד, אז אפשר להגיד שאני שוחה כמו?","אִם אֲנִי שׂוֹחֶה טוֹב מְאוֹד, אָז אֶפְשָׁר לְהַגִּיד שֶׁאֲנִי שׂוֹחֶה כְּמוֹ?",5:00-6:00,,1,,
68,הבעה,למה הילד מאוכזב?,לָמָּה הַיֶּלֶד מְאֻכְזָב?,5:00-6:00,,2,,
